ITEM
482	C	2,2,100184
483	C	2,2,100185
484	C	2,2,100186
485	C	2,2,100187
486	C	2,2,100188
487	C	2,2,100189
488	C	2,2,10018A
489	C	2,2,10018B
490	C	2,2,10018C
491	C	2,2,10018D
492	C	2,2,10018E
493	C	2,2,10018F
494	C	2,2,100190
495	C	2,2,100191
496	C	2,2,100192
497	C	2,2,100193
498	C	2,2,100194
499	C	2,2,100195
500	C	2,2,100196
501	C	2,2,100197
502	C	2,2,100198
503	C	2,2,100199
504	C	2,2,10019A
505	C	2,2,10019B
506	C	2,2,10019C
507	C	2,2,10019D
508	C	2,2,10019E
509	C	2,2,10019F
510	C	2,2,1001A0
511	C	2,2,1001A1
512	C	2,2,1001A2
513	C	2,2,1001A3
514	C	2,2,1001A4
515	C	2,2,1001A5
516	C	2,2,1001A6
517	C	2,2,1001A7
518	C	2,2,1001A8
519	C	2,2,1001A9
520	C	2,2,1001AA
521	C	2,2,1001AB
522	C	2,2,1001AC
523	C	2,2,1001AD
524	C	2,2,1001AE
525	C	2,2,1001AF
526	C	2,2,1001B0
527	C	2,2,1001B1
528	C	2,2,1001B2
529	C	2,2,1001B3
530	C	2,2,1001B4
531	C	2,2,1001B5
532	C	2,2,1001B6
533	C	2,2,1001B7
534	C	2,2,1001B8
535	C	2,2,1001B9
536	C	2,2,1001BA
537	C	2,2,1001BB
538	C	2,2,1001BC
539	C	2,2,1001BD
540	C	2,2,1001BE
541	C	2,2,1001BF
542	C	2,2,1001C0
543	C	2,2,1001C1
544	C	2,2,1001C2
545	C	3,2,100101
546	C	3,2,100102
547	C	3,2,100103
548	C	3,2,100104
549	C	3,2,100105
550	C	3,2,100106
551	C	3,2,100107
552	C	3,2,100108
553	C	3,2,100109
554	C	3,2,10010A
555	C	3,2,10010B
556	C	3,2,10010C
557	C	3,2,10010D
558	C	3,2,10010E
559	C	3,2,10010F
560	C	3,2,100110
561	C	3,2,100111
562	C	3,2,100112
563	C	3,2,100113
564	C	3,2,100114
565	C	3,2,100115
566	C	3,2,100116
567	C	3,2,100117
568	C	3,2,100118
569	C	3,2,100119
570	C	3,2,10011A
571	C	3,2,10011B
572	C	3,2,10011C
573	C	3,2,10011D
574	C	3,2,10011E
575	C	3,2,10011F
576	C	3,2,100120
577	C	3,2,100121
578	C	3,2,100122
579	C	3,2,100123
580	C	3,2,100124
581	C	3,2,100125
582	C	3,2,100126
583	C	3,2,100127
584	C	3,2,100128
585	C	3,2,100129
586	C	3,2,10012A
587	C	3,2,10012B
588	C	3,2,10012C
589	C	3,2,10012D
590	C	3,2,10012E
591	C	3,2,10012F
592	C	3,2,100130
593	C	3,2,100131
594	C	3,2,100132
595	C	3,2,100133
596	C	3,2,100134
597	C	3,2,100135
598	C	3,2,100136
599	C	3,2,100137
600	C	3,2,100138
601	C	3,2,100139
602	C	3,2,10013A
603	C	3,2,10013B
604	C	3,2,10013C
605	C	3,2,10013D
606	C	3,2,10013E
607	C	3,2,10013F
608	C	3,2,100140
609	C	3,2,100141
610	C	3,2,100142
611	C	3,2,100143
612	C	3,2,100144
613	C	3,2,100145
614	C	3,2,100146
615	C	3,2,100147
616	C	3,2,100148
617	C	3,2,100149
618	C	3,2,10014A
619	C	3,2,10014B
620	C	3,2,10014C
621	C	3,2,10014D
622	C	3,2,10014E
623	C	3,2,10014F
624	C	3,2,100150
625	C	3,2,100151
626	C	3,2,100152
627	C	3,2,100153
628	C	3,2,100154
629	C	3,2,100155
630	C	3,2,100156
631	C	3,2,100157
632	C	3,2,100158
633	C	3,2,100159
634	C	3,2,10015A
635	C	3,2,10015B
636	C	3,2,10015C
637	C	3,2,10015D
